id,instagram,youtube,facebook,twitter
justin bieber,104782232,43531256,77372351,105068716
taylor swift,114372645,32380560,72193070,83273180
selena gomez,146374129,20583340,61182590,57118159
katy perry,75871024,32450841,67480803,106959962
ariana grande,146546624,33237612,32975000,61049293
rihanna,67978213,31361101,79750007,89726087
shakira,55986489,24708939,101556490,50977347
beyonce,125101685,17984913,62219752,14873106
jennifer lopez,87006642,10353774,44213095,43514120
lady gaga,34125230,12487837,59227871,78007600
miley cyrus,85322917,12164860,44533159,41440328
nicki minaj,99601250,18286961,41467397,20484942
eminem,24972463,36252581,87828237,22496536
justin timberlake,54089343,7884093,37757919,64777896
bruno mars,21774986,24056505,56694057,42425257
drake,53860024,17603987,35358072,37949898
adele,31955038,19110396,63514177,27882607
chris brown,51165432,15650010,42073042,29790160
britney spears,21715172,6437232,38047089,56492210
wiz khalifa,25666671,17593167,40228048,33676167
